Taxa_Name;Author;Phytobs_Taxa_Code;Phytoplankton_Group;Phylum;Class;Order;Family;Genus;Species;Life_Form;Life_Form2;Phytobs_Cell_Form;Phytobs_Ind_Form;Min_Width;Max_Width;Min_Length;max_Lenght;Cell_Biovolume;Ind_Biovolume;Carbon;Min_Size_Ind;Max_Size_Ind;Ignatiades_Size_Class;Motility;Flagellum;Nb_Flagellum;Aerotope;Contractile_Vacuole;Mucilage;Akinete;Heterocyte;Cyst;Plast;Nb_Plast;Sheath;Tractus;Siciliceous_Skeleton;Lorica;Plate;Scale;Ornamentation;Protuberance;Protuberance_Type;Protuberance_Size;Nb_Protuberance;Chlo_B;Chlo_C;Xanthophyll;Phycobilin;Toxin;Microcystin;Anatoxin-a;Anatoxin-a(S);Cylindrospermopsin;Saxitoxin;BMAA;Nutrition;Reproduction;Water_Type;Water_Trophy;Tolerance;Reynolds_Group
Ankyra judayi;(Smith) Fott;ANYJUD;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Characiaceae;Ankyra;Ankyra judayi;Cel.;None;Double Cone ;Double Cone ;2;9;30;100;105;105;17.07;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Needle;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Botryococcus;Kützing;BOTSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Trebouxiales;Botryococcaceae;Botryococcus;;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;1.8;14.5;3;20;34;#NA;5.92;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Botryococcus braunii;Kützing;BOTBRA;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Trebouxiales;Botryococcaceae;Botryococcus;Botryococcus braunii;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;2.3;9;5.7;12;34;1750;5.92;Nanophytoplankton;Microphytoplankton;Microplankton;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Carteria;Diesing emend. Francé;CARSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Chlamydomonadaceae;Carteria;;Cel.;None;Sphere;Sphere;4.5;28;8;40;650;650;94.58;Nanophytoplankton;Microphytoplankton;Nanoplankton;1;1;4;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High light and nutrient content;G
Chlamydomonas;Ehrenberg;CHLSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Chlamydomonadaceae;Chlamydomonas;;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;3;32;10;35;1109;1109;156.19;Nanophytoplankton;Microphytoplankton;Microplankton;1;1;2;0;1;0;0;0;1;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Sexual and asexual;Freshwater;Meso-eutrophic;Stratification;X2
Chlamydomonas globosa;Snow;CHLGLO;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas globosa;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;5;7;5;7;113;113;18.29;Nanophytoplankton;Nanophytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Sexual and asexual;Freshwater;Meso-eutrophic;Stratification;X2
Chlorella;Beijerinck;CLLSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Chlorella;;Cel.;None;Sphere;Sphere;1.5;17;2;17;70;70;11.67;Picophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater-marine water;Hypereutrophic;Stratification;X1
Chlorella ellipsoidea;Gerneck;CLLELL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Chlorella;Chlorella ellipsoidea;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;1.5;13;2;15;50;50;8.51;Picophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Chlorella minutissima;Fott & Nováková;CLLMIU;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Chlorella;Chlorella minutissima;Cel.;Col.;Sphere;Sphere;1;3.5;1;3.5;8.2;8.2;1.56;Picophytoplankton;Nanophytoplankton;Picoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Chlorella vulgaris;Beij.;CLLVUL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Chlorella;Chlorella vulgaris;Cel.;Col.;Sphere;Sphere;2.5;13.5;1.5;13.5;100;100;16.31;Picophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Chlorococcum;Meneghini;CLCSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Chlorococcaceae;Chlorococcum;;Cel.;Col.;Sphere;Sphere;4;60;4;60;5575;5575;711.50;Nanophytoplankton;Microphytoplankton;Microplankton;1;1;2;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Chlorogonium;Ehrenberg;CHGSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Haematococcaceae;Chlorogonium;;Cel.;None;Double Cone ;Double Cone ;1.5;17;14;170;366;366;55.15;Nanophytoplankton;Microphytoplankton;Nanoplankton;1;1;2;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Chlorolobion glareosum;(Hindák) Komárek;CHOGLA;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Chlorolobion;Chlorolobion glareosum;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;1;2;4;11;20;20;3.60;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Chlorolobion lunulatum;Hindák;CHOLUN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Chlorolobion;Chlorolobion lunulatum;Cel.;None;Double Cone ;Double Cone ;2;9;9;20;66;66;11.04;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Chlorotetraedron incus;(Teiling) Komárek & Kovácik;CLTICU;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Neochloridaceae;Chlorotetraedron;Chlorotetraedron incus;Cel.;None;Parallelepiped;Parallelepiped;3;33;3;33;1850;1850;252.54;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Needle;Large;4;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Choricystis;(Skuja) Fott;CCTSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Coccomyxaceae;Choricystis;;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;0.5;3.5;0.8;8.3;33;33;5.76;Picophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Choricystis minor;(Skuja) Fott;CCTMIN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Coccomyxaceae;Choricystis;Choricystis minor;Cel.;Col.;Rotationnal Ellipsoid;Rotationnal Ellipsoid;2.5;14.4;5.7;20;9;9;1.70;Nanophytoplankton;Nanophytoplankton;Picoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Coelastrum;Nägeli;COESPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Coelastrum;;Col.;None;Sphere;Sphere;3.5;30;3.5;30;139;2224;22.22;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Coelastrum astroideum;De Notaris;COEAST;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Coelastrum;Coelastrum astroideum;Col.;None;Sphere;Sphere;3.5;20;3.5;20;72;4300;11.98;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Coelastrum microporum;Nägeli;COEMIC;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Coelastrum;Coelastrum microporum;Col.;None;Sphere;Sphere;3.5;18;3.5;18;187;18400;29.36;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Coelastrum pulchrum;Schmidle;COEPUL;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Coelastrum;Coelastrum pulchrum;Col.;None;Sphere;Sphere;3.6;18;3.6;18;65;18400;10.88;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Granule;Large;>2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Coelastrum sphaericum;Naeg.;COESPH;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Coelastrum;Coelastrum sphaericum;Col.;None;Sphere;Sphere;5;30;5;30;180;18400;28.32;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;Granule;Large;>2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Coenochloris;Korshikov;COOSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenochloris;;Col.;None;Sphere;#NA;2;16.5;2;16.5;763;1820;109.94;Picophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Coenochloris fottii;(Hindák) Tsarenko;COOFOT;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenochloris;Coenochloris fottii;Col.;None;Sphere;#NA;2;16.5;2;16.5;179;#NA;28.18;Picophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Coenochloris pyrenoidosa;Korshikov;COOPYR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenochloris;Coenochloris pyrenoidosa;Col.;None;Sphere;#NA;4;7;4;7;87;#NA;14.31;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Coenococcus;Korshikov;COUSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenococcus;;Col.;None;Sphere;#NA;8;20;8;20;1212;#NA;169.77;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Coenococcus planctonicus;Korshikov;COUPLA;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenococcus;Coenococcus planctonicus;Col.;None;Sphere;#NA;5.5;10;5.5;10;279;#NA;42.74;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Coenocystis subcylindrica;Korshikov;COYSUB;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Radiococcaceae;Coenocystis;Coenocystis subcylindrica;Col.;None;Rotationnal Ellipsoid;#NA;8;10;8;10;160;1360;25.36;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Coronastrum;R.H. Thompson;CORSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Coronastrum;;Col.;Cel.;Flattened Ellipsoid;#NA;2.5;6;3.8;8;50;#NA;8.51;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;Cone;Large;1;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Cosmarium depressum;(Nägeli) Lund;COSDEP;Chlorophytes;CHAROPHYTA;ZYGNEMATOPHYCEAE;Desmidiales;Desmidiaceae;Cosmarium;Cosmarium depressum;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;36;60;36;56;6360;6360;805.19;Microphytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;>2;0;0;0;0;0;0;1;1;Granule;Small;>2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Mesotrophic;Nutrient deficiency;N
Cosmarium tenue;Archer;COSTEN;Chlorophytes;CHAROPHYTA;ZYGNEMATOPHYCEAE;Desmidiales;Desmidiaceae;Cosmarium;Cosmarium tenue;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;30;32;46;84;424;424;63.32;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;>2;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Mesotrophic;Nutrient deficiency;N
Cosmarium tinctum;Ralfs;COSTIC;Chlorophytes;CHAROPHYTA;ZYGNEMATOPHYCEAE;Desmidiales;Desmidiaceae;Cosmarium;Cosmarium tinctum;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;7;12;10;16;278.8;278.8;42.72;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;>2;0;0;0;0;0;0;1;1;Granule;Small;>2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Mesotrophic;Nutrient deficiency;N
Crucigenia;Morren;CRUSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigenia;;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;2.5;16;2.5;16;50;200;8.51;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Crucigenia fenestrata;Schmidle;CRUFEN;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigenia;Crucigenia fenestrata;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;1.8;6;5;16;51;#NA;8.67;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Crucigenia quadrata;Morren;CRUQUA;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigenia;Crucigenia quadrata;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;2.5;12;2.5;16;84;336;13.85;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Eutrophic;High nutrient content;J
Crucigeniella;Lemmermann;CRCSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigeniella;;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;3;7;4;10;50;200;8.51;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Sexual and asexual;Freshwater-marine water;Meso-eutrophic;Low nutrients;F
Crucigeniella apiculata;(Lemmermann) Komárek;CRCAPI;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigeniella;Crucigeniella apiculata;Col.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;2;7;4;10;49;420;8.35;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;Cone;Small;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Crucigeniella irregularis;(Wille) Tsarenko & D.M. John;CRCIRR;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Crucigeniella;Crucigeniella irregularis;Col.;None;Flattened Ellipsoid;Flattened Ellipsoid;4;9;6;14;177;2832;27.88;Nanophytoplankton;Nanophytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Desmodesmus abundans;(Kirchner) Hegewald;DEDABU;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Desmodesmus;Desmodesmus abundans;Col.;None;Rotationnal Ellipsoid;#NA;2;8;5;20;164;656;25.95;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Needle;Large;6;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
