"Citation: Perkins, S. R., Stouder, M. D. W.,  and Beaulieu, K. 2021, Phytoplankton Data from Owasco, Seneca, and Skaneateles Lakes, Finger Lakes Region, New York, 2019-2020 (ver. 2.1, June 2023): U.S. Geological Survey data release, https://doi.org/10.5066/P9TP9T1D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE,STATION_ID,SAMPLE_DATE,SAMPLE_TIME_EST,REPLICATE,DEPTH_FT,ANALYSIS_DATE,MOUNT_VOLUME_HPMA,REPORT_NOTE,TAXA_ID,DIVISION,CLASS,ORDER,FAMILY,GENUS,SPECIES,VARIETY,FORM,MORPH,COLONIALITY,COLONIALITY_STATE,STRUCTURE,PHYSIOLOGICAL_STATE,TAXONOMIC_AUTHORITY,MAGNIFICATION,AREA_PER_NATURAL_UNIT.UM2_PER_NU,VOLUME_PER_NATURAL_UNIT.UM3_PER_NU,BIOVOLUME_PER_NATURAL_UNIT.UM3_PER_NU,AVERAGE_CELLS_PER_NATURAL_UNIT.CELLS_PER_NU,CONCENTRATION.NU_PER_ML,FIELD_COUNT,FIELD_AREA.UM2,TOTAL_AREA.UM2_PER_ML,TOTAL_VOLUME.UM3_PER_ML,TOTAL_BIOVOLUME.UM3_PER_ML,ALGAL_CELL_CONCENTRATION.CELLS_PER_ML,ALGAL_BIOMASS_CONCENTRATION.MG_PER_L,AVERAGE_GALD.UM,UNCERTAIN,ALTERNATE_TAXA_NAME,MEASUREMENT_NOTES,TALLY_NOTES
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1000538,Chlorophyta,Prasinophyceae,Prasinocladales,Pedinomonadaceae,Monomastix,minuta,--,--,--,Cell-Motile,Free,Vegetative,Live,--,1000,10.0738,2.5133,2.5133,1,21.8684,100,0.0241,220.2979,54.9619,54.9619,21.8684,5.50E-05,2.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1652,Chrysophyta,Chrysophyceae,--,--,--,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Cienkowski ,1000,14.6362,5.8272,5.8272,1,109.342,100,0.0241,1600.3518,637.1579,637.1579,109.342,0.00063716,2.2667,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1472,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Chrysococcus,minutus,--,--,--,Cell-Motile,Free,Vegetative,Live,(Fritsch) Nygaard ,1000,167.6267,243.8707,18.1693,1,21.8684,100,0.0241,3665.7286,5333.0633,397.3336,21.8684,0.00039733,6.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1000637,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Kephyrion,gracile,--,--,--,Cell-Motile,Free,Vegetative,Live,Pascher,1000,42.495,30.1593,4.6325,1,10.9342,100,0.0241,464.6489,329.7679,50.6527,10.9342,5.07E-05,4.8,FALSE,Kephyrion 1,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1000615,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Kephyrion,planctonicum,--,--,--,Cell-Motile,Free,Vegetative,Live,--,1000,67.3383,57.9058,25.0255,1,76.5394,100,0.0241,5154.0344,4432.0763,1915.4372,76.5394,0.00191544,6.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,10327,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Kephyrion,skujae,--,--,--,Cell-Motile,Free,Vegetative,Live,Ettl,1000,82.8829,72.3823,16.3101,1,21.8684,100,0.0241,1812.5169,1582.8855,356.6759,21.8684,0.00035668,8,FALSE,Kephyrion 5,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,3015,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,--,--,--,Cell-Motile,Free,Vegetative,Live,Ehrenberg ,400,413.8661,582.94,582.94,1,18.1484,30,0.1452,7510.9938,10579.4089,10579.4089,18.1484,0.01057941,19.3333,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,3043,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,nannoplanctica,--,--,Cell-Motile,Free,Vegetative,Live,Skuja,1000,45.2389,33.5103,33.5103,1,43.7368,100,0.0241,1978.6052,1465.6337,1465.6337,43.7368,0.00146563,6.4,FALSE,Rhodomonas lacustris,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,4282,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,--,--,--,--,<1 um spherical,Cell-Nonmotile,Free,Vegetative,Live,--,1000,2.0106,0.2681,0.2681,1,2624.2087,100,0.0241,5276.2339,703.5503,703.5503,2624.2087,0.00070355,0.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,4321,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1000,8.201,1.6755,1.6755,1,10.9342,100,0.0241,89.6714,18.3203,18.3203,10.9342,1.83E-05,3.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,4323,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,sp-- 1,--,--,< 1um ovoid,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1000,2.7069,0.4021,0.4021,1,1530.7884,100,0.0241,4143.6911,615.53,615.53,1530.7884,0.00061553,1.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,4285,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,--,--,--,>1 um spherical,Cell-Nonmotile,Free,Vegetative,Live,--,1000,1.131,0.1131,0.1131,1,21.8684,100,0.0241,24.7332,2.4733,2.4733,21.8684,2.47E-06,0.6,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,1731,Haptophyta,Prymnesiophyceae,Prymnesiales,Chromulinaceae,Chrysochromulina,parva,--,--,--,Cell-Motile,Free,Vegetative,Live,Lackey,400,46.9645,30.2431,30.2431,1,6.0495,30,0.1452,284.1097,182.9543,182.9543,6.0495,0.00018295,4,FALSE,cf Erkenia subaequiciliata,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,7140,Miscellaneous,--,--,--,--,--,--,--,Microflagellate,Cell-Motile,Free,Vegetative,Live,--,1000,33.8077,18.394,18.394,1,43.7368,100,0.0241,1478.641,804.4949,804.4949,43.7368,0.00080449,3.7333,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,6033,Pyrrhophyta,Dinophyceae,Gymnodinales,Gymnodiniaceae,Gymnodinium,sp-- 2,--,--,--,Cell-Motile,Free,Vegetative,Live,Stein,1000,278.293,362.4476,362.4476,1,10.9342,100,0.0241,3042.9121,3963.0755,3963.0755,10.9342,0.00396308,12.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,13:40,--,2,5/4/2020,7,Time 1340,6040,Pyrrhophyta,Dinophyceae,Peridinales,Peridinaceae,Peridinium,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Ehrenberg,400,251.8457,314.1593,314.1593,1,6.0495,30,0.1452,1523.5294,1900.4927,1900.4927,6.0495,0.00190049,12,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,9363,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,ocellata,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Pant,1000,100.531,73.1865,73.1865,1,15.3079,100,0.0241,1538.9169,1120.3304,1120.3304,15.3079,0.00112033,5.6,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,9361,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,pseudostelligera,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Hustedt) Houk and Klee,1000,59.9165,33.6578,33.6578,1,38.2697,100,0.0241,2292.9871,1288.0742,1288.0742,38.2697,0.00128807,4.32,FALSE,Discostella pseudostelligera,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1071,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,sp-- 1,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Kutzing) de Brebisson,1000,57.8053,33.0244,33.0244,1,61.2315,100,0.0241,3539.5073,2022.1347,2022.1347,61.2315,0.00202213,4.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1109,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Diatoma,tenuis,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Agardh,100,4574.1589,4825.4863,4825.4863,6,0.2556,30,2.4053,1169.2919,1233.5387,1233.5387,1.5338,0.00123354,200,FALSE,"Diatoma tenuis, Diatoma tenuis var. elongatum",--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1222,Bacillariophyta,Bacillariophyceae,Bacillarales,Bacillariaceae,Nitzschia,gracilis,--,--,--,Cell-Motile,Free,Vegetative,Live,Hantzsch,1000,185.4796,72.3823,72.3823,1,7.6539,100,0.0241,1419.6501,554.0099,554.0099,7.6539,0.00055401,49.6,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1293,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Stephanodiscus,niagarae,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Ehrenberg,400,804.2477,1608.4954,1608.4954,1,4.2346,30,0.1452,3405.6825,6811.365,6811.365,4.2346,0.00681137,16,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,2683,Chlorophyta,Chlorophyceae,Chlorococcales,Chlorococcaceae,--,--,--,--,2-9--9 um spherical,Cell-Nonmotile,Free,Vegetative,Live,--,1000,32.1699,17.1573,17.1573,1,22.9618,100,0.0241,738.6796,393.9629,393.9629,22.9618,0.00039396,3.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1000645,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chloromonas,prona,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Ettl H et O) Silva 1972,1000,19.772,6.434,6.434,1,22.9618,100,0.0241,454.0012,147.7364,147.7364,22.9618,0.00014774,4.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1653,Chrysophyta,Chrysophyceae,--,--,--,--,--,--,--,Cell-Nonmotile,Free,Cyst,--,--,400,194.41,254.846,254.846,1,4.2346,30,0.1452,823.2523,1079.1757,1079.1757,4.2346,0.00107918,8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1652,Chrysophyta,Chrysophyceae,--,--,--,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Cienkowski ,1000,3.4146,0.6126,0.6126,1,459.2365,100,0.0241,1568.109,281.3283,281.3283,459.2365,0.00028133,1.1,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1472,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Chrysococcus,minutus,--,--,--,Cell-Motile,Free,Vegetative,Live,(Fritsch) Nygaard ,1000,70.7818,55.9917,16.3101,1,38.2697,100,0.0241,2708.7989,2142.7861,624.1828,38.2697,0.00062418,4.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1000615,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Kephyrion,planctonicum,--,--,--,Cell-Motile,Free,Vegetative,Live,--,1000,84.1302,84.446,37.5316,1,15.3079,100,0.0241,1287.8553,1292.6896,574.5294,15.3079,0.00057453,7.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,10327,Chrysophyta,Chrysophyceae,Chromalinales,Chrysococcaceae,Kephyrion,skujae,--,--,--,Cell-Motile,Free,Vegetative,Live,Ettl,1000,42.495,30.1593,16.3101,1,7.6539,100,0.0241,325.2543,230.8375,124.8366,7.6539,0.00012484,4.8,FALSE,Kephyrion 5,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1180,Chrysophyta,Chrysophyceae,Ochromonadales,Synuraceae,Mallomonas,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Perty,1000,229.2419,287.1164,287.1164,1,30.6158,100,0.0241,7018.4167,8790.289,8790.289,30.6158,0.00879029,22.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,3015,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,erosa,--,--,--,Cell-Motile,Free,Vegetative,Live,Ehrenberg ,1000,297.5929,346.5733,346.5733,1,53.5776,100,0.0241,15944.3114,18568.5633,18568.5633,53.5776,0.01856856,17.8286,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,3043,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,nannoplanctica,--,--,Cell-Motile,Free,Vegetative,Live,Skuja,1000,45.2389,33.5103,33.5103,1,122.4631,100,0.0241,5540.0946,4103.7742,4103.7742,122.4631,0.00410377,8,FALSE,Rhodomonas lacustris,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,3041,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Rhodomonas,minuta,--,--,--,Cell-Motile,Free,Vegetative,Live,Skuja,1000,86.708,94.2478,94.2478,1,30.6158,100,0.0241,2654.632,2885.4687,2885.4687,30.6158,0.00288547,12,FALSE,Rhodomonas lens,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,4282,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,--,--,--,--,<1 um spherical,Cell-Nonmotile,Free,Vegetative,Live,--,1000,2.0106,0.2681,0.2681,1,1836.9461,100,0.0241,3693.3637,492.4852,492.4852,1836.9461,0.00049249,0.8,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,4054,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,delicatissima,--,--,--,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1000,48.9331,32.1833,2.0944,4,7.6539,100,0.0241,374.5311,246.3291,16.0304,30.6158,1.60E-05,4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,4051,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Aphanocapsa,elachista,--,--,--,Colonial-Nonmotile,Attached,Vegetative,Live,West & West,1000,126.543,133.8483,7.0122,4,7.6539,100,0.0241,968.5528,1024.4671,53.671,30.6158,5.37E-05,6.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1000829,Cyanophyta,Cyanophyceae,Nostocales,Oscillatoriaceae,Jaaginema,angustissimum,--,--,--,Filament,Attached,Vegetative,Live,--,1000,278.0309,69.115,69.115,22,7.6539,100,0.0241,2128.0324,529.0022,529.0022,168.3867,0.000529,88,TRUE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,4321,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,elongatus,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1000,4.943,0.8042,0.8042,1,15.3079,100,0.0241,75.6669,12.3106,12.3106,15.3079,1.23E-05,2.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,4323,Cyanophyta,Cyanophyceae,Chroococcales,Chroococcaceae,Synechococcus,sp-- 1,--,--,< 1um ovoid,Cell-Nonmotile,Free,Vegetative,Live,Nageli,1000,2.7069,0.4021,0.4021,1,153.0788,100,0.0241,414.3691,61.553,61.553,153.0788,6.16E-05,1.2,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,1731,Haptophyta,Prymnesiophyceae,Prymnesiales,Chromulinaceae,Chrysochromulina,parva,--,--,--,Cell-Motile,Free,Vegetative,Live,Lackey,400,46.9645,30.2431,30.2431,1,4.2346,30,0.1452,198.8768,128.068,128.068,4.2346,0.00012807,4,FALSE,cf Erkenia subaequiciliata,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,7140,Miscellaneous,--,--,--,--,--,--,--,Microflagellate,Cell-Motile,Free,Vegetative,Live,--,1000,196.3053,193.0195,193.0195,1,15.3079,100,0.0241,3005.0187,2954.7201,2954.7201,15.3079,0.00295472,16,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:00,--,44,5/4/2020,10,Time 1500,6040,Pyrrhophyta,Dinophyceae,Peridinales,Peridinaceae,Peridinium,--,--,--,--,Cell-Motile,Free,Vegetative,Live,Ehrenberg,1000,373.0143,583.3477,583.3477,1,7.6539,100,0.0241,2855.0298,4464.9094,4464.9094,7.6539,0.00446491,13.6,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,1013,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthidium,minutissima,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Kutzing,1000,49.7628,18.0956,18.0956,1,7.6539,100,0.0241,380.8816,138.5027,138.5027,7.6539,0.0001385,8,FALSE,"Achnanthidium minutissimum, Achnanthes minutissima",--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,1021,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionella,formosa,--,--,--,Colonial-Nonmotile,Attached,Vegetative,Live,Hass,400,3432,2880,2880,4,4.2346,30,0.1452,14533.2121,12195.7025,12195.7025,16.9385,0.0121957,84,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,1522,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclostephanos,tholiformis,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Stoermer HÜk & Theriot,1000,128.6796,102.9437,102.9437,1,7.6539,100,0.0241,984.9062,787.9251,787.9251,7.6539,0.00078793,6.4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,9856,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,atomus,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Hust,1000,65.01,37.3305,37.3305,1,38.2697,100,0.0241,2487.9138,1428.6274,1428.6274,38.2697,0.00142863,4.5333,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,9363,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,ocellata,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,Pant,1000,50.2655,25.1327,25.1327,1,7.6539,100,0.0241,384.7292,192.3642,192.3642,7.6539,0.00019236,4,FALSE,--,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,9361,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,pseudostelligera,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Hustedt) Houk and Klee,1000,50.2655,25.1327,25.1327,1,7.6539,100,0.0241,384.7292,192.3642,192.3642,7.6539,0.00019236,4,FALSE,Discostella pseudostelligera,--,--
Owasco Lake Platform,425327076313601,6/4/2019,15:50,--,80,5/4/2020,10,Time 1550,1071,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,sp-- 1,--,--,--,Cell-Nonmotile,Free,Vegetative,Live,(Kutzing) de Brebisson,1000,32.1699,12.868,12.868,1,7.6539,100,0.0241,246.2265,98.4909,98.4909,7.6539,9.85E-05,3.2,FALSE,--,--,--
